airplane 	 ['aeroplane', 'plane']
apple 	 []
backpack 	 ['knapsack', 'packsack', 'rucksack']
banana 	 []
baseball bat 	 []
baseball glove 	 []
bear 	 []
bed 	 []
bench 	 []
bicycle 	 ['bike']
bird 	 []
boat 	 []
book 	 []
bottle 	 []
bowl 	 []
broccoli 	 []
bus 	 ['autobus', 'motorbus', 'motorcoach']
cake 	 []
car 	 ['motorcar']
carrot 	 []
cat 	 []
cell phone 	 []
chair 	 []
clock 	 []
couch 	 ['sofa']
cow 	 []
cup 	 []
dining table 	 ['table']
dog 	 []
donut 	 ['doughnut']
elephant 	 []
fire hydrant 	 []
fork 	 []
frisbee 	 []
giraffe 	 []
hair dryer 	 []
handbag 	 ['pocketbook', 'purse']
horse 	 []
hot dog 	 []
keyboard 	 []
kite 	 []
knife 	 []
laptop 	 []
microwave 	 []
motorcycle 	 ['motorbike']
mouse 	 []
orange 	 []
oven 	 []
parking meter 	 []
person 	 ['human', 'someone', 'somebody', 'man', 'women']
pizza 	 []
potted plant 	 []
refrigerator 	 []
remote 	 ['controller']
sandwich 	 []
scissors 	 []
sheep 	 []
sink 	 []
skateboard 	 []
skis	 []
snowboard 	 []
spoon 	 []
sports ball 	 []
stop sign 	 []
suitcase 	 ['traveling bag', 'travelling bag']
surfboard 	 []
teddy bear 	 []
tennis racket 	 []
tie 	 ['necktie']
toaster 	 []
toilet 	 []
toothbrush 	 []
traffic light 	 []
train 	 []
truck 	 ['motortruck']
tv 	 ['television', 'TV', 'monitor']
umbrella 	 []
vase 	 []
wine glass 	 []
zebra 	 []
